
---------- Begin Simulation Statistics ----------
final_tick                                24967956875                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                 320595                       # Simulator instruction rate (inst/s)
host_mem_usage                                 658064                       # Number of bytes of host memory used
host_op_rate                                   341831                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   226.13                       # Real time elapsed on the host
host_tick_rate                              110415114                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    72495459                       # Number of instructions simulated
sim_ops                                      77297630                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.024968                       # Number of seconds simulated
sim_ticks                                 24967956875                       # Number of ticks simulated
system.cpu.cc_regfile_reads                 263247675                       # number of cc regfile reads
system.cpu.cc_regfile_writes                 39053737                       # number of cc regfile writes
system.cpu.committedInsts                    72495459                       # Number of Instructions Simulated
system.cpu.committedOps                      77297630                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               0.551052                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         0.551052                       # CPI: Total CPI of All Threads
system.cpu.idleCycles                           41071                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts               141189                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                 10534734                       # Number of branches executed
system.cpu.iew.exec_nop                             2                       # number of nop insts executed
system.cpu.iew.exec_rate                     1.960719                       # Inst execution rate
system.cpu.iew.exec_refs                     14131179                       # number of memory reference insts executed
system.cpu.iew.exec_stores                    5260787                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                  233723                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               9005876                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                 67                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts                 0                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts              5326312                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            79991231                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               8870392                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts            131611                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              78328232                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                      3                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                   130                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                 135038                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                   136                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            619                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect        29773                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect         111416                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                 124511750                       # num instructions consuming a value
system.cpu.iew.wb_count                      78265760                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.475050                       # average fanout of values written-back
system.cpu.iew.wb_producers                  59149352                       # num instructions producing a value
system.cpu.iew.wb_rate                       1.959155                       # insts written-back per cycle
system.cpu.iew.wb_sent                       78279867                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 94729209                       # number of integer regfile reads
system.cpu.int_regfile_writes                55462359                       # number of integer regfile writes
system.cpu.ipc                               1.814712                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         1.814712                       # IPC: Total IPC of All Threads
system.cpu.iq.FU_type_0::No_OpClass                 8      0.00%      0.00% # Type of FU issued
system.cpu.iq.FU_type_0::IntAlu              63334634     80.72%     80.72% # Type of FU issued
system.cpu.iq.FU_type_0::IntMult               934840      1.19%     81.91% # Type of FU issued
system.cpu.iq.FU_type_0::IntDiv                     0      0.00%     81.91% # Type of FU issued
system.cpu.iq.FU_type_0::FloatAdd                   0      0.00%     81.91% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCmp                   0      0.00%     81.91% # Type of FU issued
system.cpu.iq.FU_type_0::FloatCvt                   0      0.00%     81.91% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMult                  0      0.00%     81.91% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMultAcc               0      0.00%     81.91% # Type of FU issued
system.cpu.iq.FU_type_0::FloatDiv                   0      0.00%     81.91% # Type of FU issued
system.cpu.iq.FU_type_0::FloatMisc                  0      0.00%     81.91% # Type of FU issued
system.cpu.iq.FU_type_0::FloatSqrt                  0      0.00%     81.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAdd                    0      0.00%     81.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAddAcc                 0      0.00%     81.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAlu                    0      0.00%     81.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCmp                    0      0.00%     81.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdCvt                    0      0.00%     81.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMisc                   0      0.00%     81.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMult                   0      0.00%     81.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdMultAcc                0      0.00%     81.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShift                  0      0.00%     81.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdShiftAcc               0      0.00%     81.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdDiv                    0      0.00%     81.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdSqrt                   0      0.00%     81.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAdd               0      0.00%     81.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatAlu               0      0.00%     81.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCmp               0      0.00%     81.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatCvt               0      0.00%     81.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatDiv               0      0.00%     81.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMisc              4      0.00%     81.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMult              0      0.00%     81.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatMultAcc            0      0.00%     81.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatSqrt              0      0.00%     81.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAdd              0      0.00%     81.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceAlu              0      0.00%     81.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdReduceCmp              0      0.00%     81.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceAdd            0      0.00%     81.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdFloatReduceCmp            0      0.00%     81.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAes                    0      0.00%     81.91% # Type of FU issued
system.cpu.iq.FU_type_0::SimdAesMix                 0      0.00%     81.91% # Type of FU issued
